post_id,instance_key,note
# Manual post → event attribution overrides.
# Lines starting with # are comments.
#
# post_id      = Instagram media_id or TikTok video_id (visible in the dashboard's Review queue)
# instance_key = the event_base_id (UUID from SweatPals) you want this post attributed to
#                OR "ignore" to drop the post from attribution
# note         = free-text note for yourself about why this override exists
#
# Examples:
# 3897925603475059105,8f1d06bf-4e06-4077-947c-cd7275841755,Fit Fest World Cup teaser
# 7561234567890123456,ignore,Generic OTT brand post, not event-specific
#
# --- Confirmed via dashboard 2026-05-23 ---
7556442748023311646,a281c1e2-03bc-4a49-973d-adad12c4638a,reassigned via dashboard: The Blend Day Party (Nov 1 2025)
17910092580362523,10524b34-39a2-4a7d-899e-3e96e0a9aaf3,reassigned via dashboard: The Blend Day Party (Mar 28 2026)
7558251316099747103,a281c1e2-03bc-4a49-973d-adad12c4638a,reassigned via dashboard: The Blend Day Party (Nov 1 2025)
17857366116632251,cadee9c5-2e9d-49e7-89ac-1a5cb0ec8c1e,reassigned via dashboard: The Blend @ W San Francisco (Apr 18 2026)
7638450880634834206,f25a385a-b9c1-4293-b410-d75eac1ae651,reassigned via dashboard: The Blend Day Party (May 9 2026)
#
# --- Review queue cleared 2026-05-24 ---
18050710883315755,keep,Vol.3 promo -> Rivian correct (false date flag on "3 DAYS")
18045489470523721,keep,Sacramento recap -> Mar 21 Sac correct
18330773614217818,keep,On-tour promo -> Mar 21 Sac (this weekend) correct
18103028293748920,cadee9c5-2e9d-49e7-89ac-1a5cb0ec8c1e,Apr 25 recap of W SF Blend (was wrongly on After Party)
